2025-05-12 23:41:11 | INFO | crypto-signal-bot | [XTZ/USDT] Features prepared: {'rsi': 74.70817120622571, 'macd': 0.02270117487625989, 'macd_signal': 0.004410981940032398, 'bb_upper': 0.6764107480320213, 'bb_lower': 0.47928925196797867, 'atr': 0.035428571428571386, 'volume': 6231157.0, 'volume_sma_20': 4278056.5}
2025-05-12 23:41:11 | INFO | crypto-signal-bot | [XTZ/USDT] Prediction for 1d: LONG, Confidence: 59.86%
2025-05-12 23:41:11 | INFO | crypto-signal-bot | [XTZ/USDT] Low confidence: 59.86%
2025-05-12 23:41:11 | INFO | crypto-signal-bot | [XTZ/USDT] No signal for 1d
2025-05-12 23:41:11 | INFO | crypto-signal-bot | [XTZ/USDT] No valid signals across any timeframe
2025-05-12 23:41:11 | INFO | crypto-signal-bot | ⚠️ XTZ/USDT - No valid signal
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Checking for cooldown
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Starting multi-timeframe analysis
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Starting multi-timeframe analysis
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Starting analysis on 15m
2025-05-12 23:41:12 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:12 | WARNING | crypto-signal-bot | [RVN/USDT] Support/Resistance too close to current price
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Support/Resistance calculated: Last support=0.01, resistance=0.01
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Features prepared: {'rsi': 74.07407407407395, 'macd': 5.0058757572329915e-06, 'macd_signal': -2.043774341591739e-05, 'bb_upper': 0.013711620944774336, 'bb_lower': 0.013185379055225661, 'atr': 7.857142857142872e-05, 'volume': 490561.9, 'volume_sma_20': 1939454.0140625}
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Prediction for 15m: LONG, Confidence: 59.86%
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Low confidence: 59.86%
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] No signal for 15m
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Starting analysis on 1h
2025-05-12 23:41:12 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Support/Resistance calculated: Last support=0.01, resistance=0.01
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Features prepared: {'rsi': 40.50632911392404, 'macd': -3.0303194296905575e-05, 'macd_signal': -2.9210166845651654e-06, 'bb_upper': 0.014166616372365284, 'bb_lower': 0.013196383627634714, 'atr': 0.0003178571428571429, 'volume': 1532386.2, 'volume_sma_20': 8259330.275}
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Prediction for 1h: LONG, Confidence: 59.86%
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Low confidence: 59.86%
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] No signal for 1h
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Starting analysis on 4h
2025-05-12 23:41:12 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Support/Resistance calculated: Last support=0.01, resistance=0.01
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Features prepared: {'rsi': 56.307692307692285, 'macd': 0.0004210246591612697, 'macd_signal': 0.0005081184188653973, 'bb_upper': 0.013946869672899155, 'bb_lower': 0.012920130327100847, 'atr': 0.0005235714285714285, 'volume': 13919444.0, 'volume_sma_20': 24101395.85}
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Prediction for 4h: LONG, Confidence: 60.00%
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Signal generated - Direction: LONG, Confidence: 60.00%, TP1: 0.78, TP2: 0.57, TP3: 0.36
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Signal for 4h: LONG, Confidence: 60.00%
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Starting analysis on 1d
2025-05-12 23:41:12 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Support/Resistance calculated: Last support=0.01, resistance=0.01
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Features prepared: {'rsi': 63.02816901408449, 'macd': 0.0004782364402486899, 'macd_signal': 0.00021541111840418293, 'bb_upper': 0.013978842981101058, 'bb_lower': 0.010026157018898944, 'atr': 0.0008778571428571427, 'volume': 183524540.0, 'volume_sma_20': 120670242.0}
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Prediction for 1d: SHORT, Confidence: 52.14%
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Low confidence: 52.14%
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] No signal for 1d
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [RVN/USDT] Not enough timeframe signals: 1/3
2025-05-12 23:41:12 | INFO | crypto-signal-bot | ⚠️ RVN/USDT - No valid signal
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [HBAR/USDT] Checking for cooldown
2025-05-12 23:41:12 | INFO | crypto-signal-bot | [HBAR/USDT] Starting multi-timeframe analysis
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Starting multi-timeframe analysis
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Starting analysis on 15m
2025-05-12 23:41:13 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:13 | WARNING | crypto-signal-bot | [HBAR/USDT] Support/Resistance too close to current price
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Support/Resistance calculated: Last support=0.22, resistance=0.22
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Features prepared: {'rsi': 71.3327745180218, 'macd': 1.726433252402515e-05, 'macd_signal': -0.0005349874493883852, 'bb_upper': 0.21825854019510676, 'bb_lower': 0.2096884598048932, 'atr': 0.001690000000000005, 'volume': 777271.0, 'volume_sma_20': 3511111.3}
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Prediction for 15m: LONG, Confidence: 59.86%
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Low confidence: 59.86%
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] No signal for 15m
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Starting analysis on 1h
2025-05-12 23:41:13 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:13 | WARNING | crypto-signal-bot | [HBAR/USDT] Support/Resistance too close to current price
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Support/Resistance calculated: Last support=0.22, resistance=0.22
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Features prepared: {'rsi': 52.33487589398401, 'macd': 0.0012448405837967025, 'macd_signal': 0.0016766123650972927, 'bb_upper': 0.2249483494853069, 'bb_lower': 0.20629365051469306, 'atr': 0.006625000000000006, 'volume': 3839543.0, 'volume_sma_20': 21454759.6}
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Prediction for 1h: SHORT, Confidence: 52.14%
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Low confidence: 52.14%
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] No signal for 1h
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Starting analysis on 4h
2025-05-12 23:41:13 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Support/Resistance calculated: Last support=0.21, resistance=0.22
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Features prepared: {'rsi': 56.36217948717949, 'macd': 0.006010954570088073, 'macd_signal': 0.006264032687065124, 'bb_upper': 0.21983564491651103, 'bb_lower': 0.198714355083489, 'atr': 0.008940714285714284, 'volume': 37322940.0, 'volume_sma_20': 50049783.3}
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Prediction for 4h: LONG, Confidence: 59.86%
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Low confidence: 59.86%
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] No signal for 4h
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Starting analysis on 1d
2025-05-12 23:41:13 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Support/Resistance calculated: Last support=0.19, resistance=0.23
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Features prepared: {'rsi': 62.99464138499587, 'macd': 0.008494815852967769, 'macd_signal': 0.0050715782443990194, 'bb_upper': 0.21556236450263044, 'bb_lower': 0.16419463549736957, 'atr': 0.01260428571428571, 'volume': 469647500.0, 'volume_sma_20': 188669924.8}
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Prediction for 1d: LONG, Confidence: 59.86%
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] Low confidence: 59.86%
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] No signal for 1d
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [HBAR/USDT] No valid signals across any timeframe
2025-05-12 23:41:13 | INFO | crypto-signal-bot | ⚠️ HBAR/USDT - No valid signal
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [NKN/USDT] Checking for cooldown
2025-05-12 23:41:13 | INFO | crypto-signal-bot | [NKN/USDT] Starting multi-timeframe analysis
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Starting multi-timeframe analysis
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Starting analysis on 15m
2025-05-12 23:41:14 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:14 | WARNING | crypto-signal-bot | [NKN/USDT] Support/Resistance too close to current price
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Support/Resistance calculated: Last support=0.04, resistance=0.04
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Features prepared: {'rsi': 75.0, 'macd': -5.6515691411004876e-05, 'macd_signal': -0.00021007415196551196, 'bb_upper': 0.040693599289383854, 'bb_lower': 0.03904640071061615, 'atr': 0.0003285714285714271, 'volume': 325296.0, 'volume_sma_20': 633658.95}
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Prediction for 15m: LONG, Confidence: 59.86%
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Low confidence: 59.86%
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] No signal for 15m
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Starting analysis on 1h
2025-05-12 23:41:14 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
